player_index,player_name,player_url,season_injured,injury,injured_since,injured_until,duration,games_missed,club_missed_games_for
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,25/26,Ill,NA,NA,9 days,2,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,24/25,Hip problems,NA,NA,13 days,2,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,24/25,Abdominal problems,NA,NA,17 days,2,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,24/25,unknown injury,NA,NA,10 days,2,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,24/25,unknown injury,NA,NA,22 days,4,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,23/24,Eyebow fracture,NA,NA,76 days,3,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,23/24,Muscle injury,NA,NA,27 days,4,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,23/24,Knee injury,NA,NA,8 days,1,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,20/21,Virus,NA,NA,17 days,3,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,19/20,Ill,NA,NA,9 days,3,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,19/20,Ill,NA,NA,7 days,1,Manchester City
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,19/20,muscular problems,NA,NA,17 days,4,"Manchester City, Brazil"
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,17/18,Facial injury,NA,NA,3 days,NA,NA
1,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,16/17,Meniscus injury,NA,NA,30 days,1,SL Benfica
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,21/22,Corona virus,NA,NA,15 days,1,Arminia Bielefeld
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,19/20,influenza,NA,NA,8 days,1,Arminia Bielefeld
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,18/19,Internal ligament strain,NA,NA,28 days,6,"Arminia Bielefeld, Germany"
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,11/12,Eye injury,NA,NA,5 days,1,Arminia Bielefeld
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,11/12,Hip bruise,NA,NA,4 days,2,Arminia Bielefeld
2,Stefan Ortega,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,10/11,Rib fracture,NA,NA,54 days,9,"Arminia Bielefeld U19, Germany"
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,25/26,Knock,NA,NA,10 days,1,Manchester City
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,22/23,unknown injury,NA,NA,173 days,16,Chelsea FC
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,18/19,Knee surgery,NA,NA,104 days,14,Fulham FC
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,18/19,Fitness,NA,NA,6 days,1,Fulham FC
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,18/19,unknown injury,NA,NA,44 days,5,"Fulham FC, England"
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,17/18,Fitness,NA,NA,21 days,5,Fulham FC
3,Marcus Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,15/16,Knee surgery,NA,NA,173 days,36,"Fulham FC, England"
4,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,20/21,Virus,NA,NA,68 days,20,Manchester City
4,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,12/13,unknown injury,NA,NA,17 days,5,"Bursaspor, England"
4,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,12/13,unknown injury,NA,NA,9 days,4,"Bursaspor, England"
5,Spike Brits,https://www.transfermarkt.com/spike-brits/profil/spieler/1080903,NA,NA,NA,NA,NA,NA,NA
6,Max Hudson,https://www.transfermarkt.com/max-hudson/profil/spieler/1082283,NA,NA,NA,NA,NA,NA,NA
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,24/25,muscle stiffness,NA,NA,5 days,1,Manchester City
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,24/25,Hip injury,NA,NA,15 days,3,Manchester City
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,24/25,unknown injury,NA,NA,30 days,6,Manchester City
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,24/25,Calf injury,NA,NA,33 days,9,"Manchester City, Portugal"
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,22/23,Hamstring injury,NA,NA,25 days,7,Manchester City
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,21/22,Knock,NA,NA,40 days,9,"Manchester City, Portugal"
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,17/18,Ankle injury,NA,NA,11 days,3,Portugal
7,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,17/18,Appendectomy,NA,NA,29 days,7,SL Benfica
8,Abdukodir Khusanov,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,NA,NA,NA,NA,NA,NA,NA
9,Vitor Reis,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,24/25,Muscle injury,NA,NA,24 days,3,Sociedade Esportiva Palmeiras
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,24/25,Adductor injury,NA,NA,61 days,13,"Manchester City, Switzerland"
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,24/25,unknown injury,NA,NA,17 days,4,Manchester City
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,24/25,Adductor injury,NA,NA,9 days,2,Switzerland
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,23/24,unknown injury,NA,NA,25 days,4,Manchester City
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,21/22,minor knock,NA,NA,4 days,1,Switzerland
10,Manuel Akanji,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,21/22,Torn muscle fiber,NA,NA,28 days,5,Borussia Dortmund
