Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
Ederson Santana de Moraes,17.08.1993 (32),Osasco,"1,88 m",Brazil Portugal,Goalkeeper,left,Gestifute,Manchester City,01.07.2017,30.06.2026,01.09.2021,Puma,,https://www.transfermarkt.com/ederson/profil/spieler/238223,NA,NA,NA,NA,NA,NA,NA
NA,06.11.1992 (32),Hofgeismar,"1,85 m",Germany Spain,Goalkeeper,right,neblung ...,Manchester City,01.07.2022,30.06.2026,08.06.2024,Nike,,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,Stefan Ortega Moreno,NA,NA,NA,NA,NA,NA
NA,24.05.1992 (33),London,"1,93 m",England Italy,Goalkeeper,right,Refuel Performance ...,Manchester City,10.06.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,NA,NA,NA,NA,NA,NA,NA
NA,03.09.1985 (39),Whitehaven,"1,88 m",England,Goalkeeper,right,Wasserman,Without Club,01.07.2025,-,NA,Puma,,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,Scott Paul Carson,NA,NA,NA,NA,NA,NA
NA,24.06.2007 (18),Wimbledon,NA,England South Africa,Goalkeeper,right,Unique Sports Group,Manchester City U21,01.07.2024,-,NA,NA,,https://www.transfermarkt.com/spike-brits/profil/spieler/1080903,Thorsten Spike Brits,NA,NA,NA,NA,NA,NA
NA,20.09.2007 (17),NA,"1,91 m",Wales,Goalkeeper,right,Agent is known - Player under 18,Manchester City U18,01.07.2024,-,NA,NA,NA,https://www.transfermarkt.com/max-hudson/profil/spieler/1082283,NA,Manchester City UEFA U19,NA,NA,NA,NA,NA
NA,14.05.1997 (28),Amadora,"1,87 m",Portugal,Defender - Centre-Back,right,Gestifute,Manchester City,29.09.2020,30.06.2029,22.08.2025,Nike,,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Rúben Santos Gato Alves Dias,NA,NA,NA,NA,NA,NA
NA,29.02.2004 (21),Tashkent,"1,86 m",Uzbekistan,Defender - Centre-Back,right,Football Group LLC,Manchester City,20.01.2025,30.06.2029,NA,NA,,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,"Abdukodir Khikmatovich Khusanov, Абдукодир Хусанов",NA,NA,NA,NA,NA,NA
NA,12.01.2006 (19),São José dos Campos,"1,86 m",Brazil,Defender - Centre-Back,right,P&P Sport ...,Girona FC,08.08.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,Vitor de Oliveira Nunes dos Reis,NA,Manchester City,30.06.2029,NA,NA,NA
NA,19.07.1995 (30),Wiesendangen,"1,88 m",Switzerland Nigeria,Defender - Centre-Back,right,Wasserman,Manchester City,01.09.2022,30.06.2027,NA,Puma,,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,Manuel Obafemi Akanji,NA,NA,NA,NA,NA,NA
NA,28.05.1994 (31),Barnsley,"1,88 m",England,Defender - Centre-Back,right,Wasserman,Manchester City,09.08.2016,30.06.2026,10.08.2021,Nike,,https://www.transfermarkt.com/john-stones/profil/spieler/186590,NA,NA,NA,NA,NA,NA,NA
NA,18.02.1995 (30),Den Haag,"1,80 m",Netherlands Cote d'Ivoire,Defender - Centre-Back,left,Wasserman,Manchester City,05.08.2020,30.06.2027,29.07.2023,Nike,,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Nathan Benjamin Aké,NA,NA,NA,NA,NA,NA
NA,04.11.2005 (19),Manchester,"1,87 m",England,Defender - Centre-Back,right,Golden Gate Group,Celtic FC,05.08.2025,31.05.2026,NA,NA,NA,https://www.transfermarkt.com/jahmai-simpson-pusey/profil/spieler/942497,NA,NA,Manchester City U21,-,NA,NA,NA
NA,21.07.2005 (20),Bristol,"1,85 m",England Barbados,Defender - Centre-Back,both,ROOF,Watford FC,08.08.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/max-alleyne/profil/spieler/843595,NA,NA,Manchester City U21,-,NA,NA,NA
NA,08.02.2008 (17),Bolton,NA,England Jamaica,Defender - Centre-Back,NA,Agent is known - Player under 18,Manchester City U18,01.07.2024,-,NA,NA,NA,https://www.transfermarkt.com/kaden-braithwaite/profil/spieler/1078156,Kaden Elliot Braithwaite,Manchester City UEFA U19,NA,NA,NA,NA,NA
NA,23.01.2002 (23),Zagreb,"1,85 m",Croatia,Defender - Left-Back,left,Marjan Sisic,Manchester City,05.08.2023,30.06.2028,NA,NA,,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,Joško Gvardiol,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,NA,NA
NA,21.11.2004 (20),Bury,"1,70 m",England,Defender - Right-Back,right,CAA Base Ltd,Manchester City,01.07.2022,30.06.2028,15.08.2023,NA,,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,Rico Henry Mark Lewis,NA,NA,NA,NA,NA,NA
NA,28.05.1990 (35),Sheffield,"1,83 m",England,Defender - Right-Back,right,CAA Base Ltd,Burnley FC,05.07.2025,30.06.2027,NA,Puma,,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,Kyle Andrew Walker,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452,NA,NA
Rodrigo Hernández Cascante,22.06.1996 (29),Madrid,"1,91 m",Spain,Midfield - Defensive Midfield,right,Pablo Barquero,Manchester City,04.07.2019,30.06.2027,12.07.2022,Nike,NA,https://www.transfermarkt.com/rodri/profil/spieler/357565,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jacob-wright/profil/spieler/983702,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/tijjani-reijnders/profil/spieler/460939,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/466805,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,NA,NA
NA,10.08.1994 (31),Lisboa,"1,73 m",Portugal,Midfield - Attacking Midfield,left,Gestifute,Manchester City,01.07.2017,30.06.2026,23.08.2023,adidas,,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Bernardo Mota Veiga de Carvalho e Silva,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/claudio-echeverri/profil/spieler/994536,NA,NA
NA,27.05.2002 (23),Borgerhout,"1,73 m",Belgium Ghana,Attack - Left Winger,right,Elevate,Manchester City,24.08.2023,30.06.2028,NA,Nike,,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,NA,NA,NA,NA,NA,NA,NA
NA,10.09.1995 (29),Birmingham,"1,80 m",England Ireland,Attack - Left Winger,right,CAA Stellar,Everton FC,12.08.2025,30.06.2026,NA,Puma,,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,Jack Peter Grealish,NA,Manchester City,30.06.2027,NA,NA,NA
NA,28.05.2000 (25),Stockport,"1,71 m",England,Attack - Right Winger,left,NA,Manchester City,01.07.2017,30.06.2027,14.10.2022,Nike,,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,Philip Walter Foden,NA,NA,NA,NA,NA,NA
Sávio Moreira de Oliveira,10.04.2004 (21),São Mateus,"1,76 m",Brazil,Attack - Right Winger,left,Promanager,Manchester City,18.07.2024,30.06.2029,NA,Nike,,https://www.transfermarkt.com/savinho/profil/spieler/743591,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/farid-alfa-ruprecht/profil/spieler/897402,NA,NA
NA,21.07.2000 (25),Leeds,"1,95 m",Norway,Attack - Centre-Forward,left,Rafaela Pimenta,Manchester City,01.07.2022,30.06.2034,17.01.2025,Nike,,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,Erling Braut Håland,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/omar-marmoush/profil/spieler/445939,NA,NA
NA,25.10.2004 (20),London,"1,83 m",England DR Congo,Attack - Centre-Forward,left,Elite Management ...,Stoke City,05.07.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/divin-mubama/profil/spieler/670848,NA,NA,Manchester City U21,-,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323,NA,NA
NA,31.07.2005 (20),Maasmechelen,"2,00 m",Belgium,Goalkeeper,left,MARTIN RIHA,RC Strasbourg Alsace,28.07.2025,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/mike-penders/profil/spieler/834397,Mike Louis Penders,NA,Chelsea FC,30.06.2032,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,NA,NA
NA,05.09.2002 (22),Pargas,"2,05 m",Finland,Goalkeeper,right,CAA Stellar,RCD Mallorca,15.07.2025,30.06.2027,NA,NA,,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606,Lucas Carl Edvard Bergström,NA,NA,NA,NA,club option 2 years,NA
NA,24.05.1992 (33),London,"1,93 m",England Italy,Goalkeeper,right,Refuel Performance ...,Manchester City,10.06.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,NA,NA,NA,NA,NA,NA,NA
NA,10.11.2005 (19),High Wycombe,NA,England,Goalkeeper,NA,NA,Chelsea FC U21,01.07.2023,30.06.2028,23.05.2025,NA,NA,https://www.transfermarkt.com/max-merrick/profil/spieler/827435,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ted-curd/profil/spieler/857792,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,NA,NA
NA,29.07.2003 (22),Lisboa,"1,90 m",Portugal Cape Verde,Defender - Centre-Back,left,Mondo Victory,Villarreal CF,22.08.2025,30.06.2032,NA,adidas,,https://www.transfermarkt.com/renato-veiga/profil/spieler/805714,Renato Palma Veiga,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,NA,NA
