DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,SocialMedia,tm_url,Nameinhomecountry,Outfitter,Contractoption,Lastcontractextension,Fullname,Onloanfrom,Contractthereexpires,2ndclub,3ndclub,Dateofdeath
11.03.1998 (27),Gonesse,"1,91 m",France DR Congo,Defender - Centre-Back,right,Relatives,Chelsea FC,04.08.2023,30.06.2029,,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.09.1997 (27),London,"1,97 m",England Nigeria,Defender - Centre-Back,right,WNRS,Chelsea FC,01.07.2024,30.06.2028,,https://www.transfermarkt.com/tosin-adarabioyo/profil/spieler/258878,Abdul-Nasir Oluwatosin Oluwadoyinsolami Adarabioyo,Nike,NA,NA,NA,NA,NA,NA,NA,NA
29.04.2005 (20),Bernardo Larroudé,"1,86 m",Argentina,Defender - Centre-Back,right,ML Sports,Chelsea FC,08.08.2024,30.06.2031,,https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02.09.2005 (19),Bristol,NA,England,Defender - Centre-Back,right,Roc Nation Sports,Chelsea FC U21,01.07.2024,30.06.2026,NA,https://www.transfermarkt.com/kaiden-wilson/profil/spieler/936841,NA,NA,club option 1 year,20.05.2024,NA,NA,NA,NA,NA,NA
05.06.2006 (19),Manchester,"1,86 m",England Jamaica,Defender - Left-Back,left,FullNinety,RC Strasbourg Alsace,30.07.2025,30.06.2030,,https://www.transfermarkt.com/ishe-samuels-smith/profil/spieler/922698,Ishe Barrington Samuels-Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.05.2003 (22),Décines-Charpieu,"1,78 m",France Martinique,Defender - Right-Back,right,Wasserman,Chelsea FC,29.01.2023,30.06.2030,,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322,NA,adidas,NA,NA,NA,NA,NA,NA,NA,NA
05.05.2006 (19),London,"1,85 m",England Ghana,Defender - Right-Back,right,NA,Chelsea FC,18.12.2024,30.06.2029,NA,https://www.transfermarkt.com/josh-acheampong/profil/spieler/1004708,Joshua Kofi Acheampong,NA,NA,18.12.2024,NA,NA,NA,NA,NA,NA
09.09.2004 (20),London,"1,73 m",England Nigeria,Defender - Right-Back,right,NA,Chelsea FC U21,01.07.2023,30.06.2026,,https://www.transfermarkt.com/richard-olise/profil/spieler/868920,NA,NA,Option for a further year,21.05.2024,NA,NA,NA,NA,NA,NA
27.03.2005 (20),London,NA,England Ghana,Midfield - Defensive Midfield,NA,1Seven Sports ...,Chelsea FC U21,01.07.2023,30.06.2026,,https://www.transfermarkt.com/sam-rak-sakyi/profil/spieler/906214,Samuel Rak-Sakyi,NA,NA,05.06.2024,NA,NA,NA,NA,NA,NA
17.01.2001 (24),San Martín,"1,78 m",Argentina,Midfield - Central Midfield,right,DE 9 FÚTBOL,Chelsea FC,31.01.2023,30.06.2032,,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195,Enzo Jeremías Fernández,Nike,NA,NA,NA,NA,NA,NA,NA,NA
