player_index,player_url,player_name,injury_count_last_3_seasons,days_missed_last_3_seasons,injury_count_last_2_seasons,days_missed_last_2_seasons,injury_count_last_1_seasons,days_missed_last_1_seasons,muscular_injury_count_last_3_seasons,muscular_days_missed_last_3_seasons,muscular_injury_count_last_2_seasons,muscular_days_missed_last_2_seasons,muscular_injury_count_last_1_seasons,muscular_days_missed_last_1_seasons,skeletal_injury_count_last_3_seasons,skeletal_days_missed_last_3_seasons,skeletal_injury_count_last_2_seasons,skeletal_days_missed_last_2_seasons,skeletal_injury_count_last_1_seasons,skeletal_days_missed_last_1_seasons,tendon_ligament_injury_count_last_3_seasons,tendon_ligament_days_missed_last_3_seasons,tendon_ligament_injury_count_last_2_seasons,tendon_ligament_days_missed_last_2_seasons,tendon_ligament_injury_count_last_1_seasons,tendon_ligament_days_missed_last_1_seasons,days_missed_current_season
1,https://www.transfermarkt.com/ederson/profil/spieler/238223,Ederson,3,111,3,111,3,111,1,27,1,27,1,27,2,84,2,84,2,84,0,0,0,0,0,0,62
2,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,Stefan Ortega,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,Marcus Bettinelli,1,173,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Rúben Dias,2,65,1,25,0,0,1,25,1,25,0,0,1,40,0,0,0,0,0,0,0,0,0,0,83
9,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,Vitor Reis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
10,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,Manuel Akanji,5,103,1,25,1,25,2,38,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,87
11,https://www.transfermarkt.com/john-stones/profil/spieler/186590,John Stones,3,112,3,112,1,53,2,59,2,59,0,0,1,53,1,53,1,53,0,0,0,0,0,0,164
12,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Nathan Aké,3,47,3,47,1,13,3,47,3,47,1,13,0,0,0,0,0,0,0,0,0,0,0,0,166
16,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,Josko Gvardiol,4,66,3,58,1,23,0,0,0,0,0,0,1,8,0,0,0,0,1,23,1,23,1,23,0
17,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,Rayan Aït-Nouri,3,35,1,6,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0
18,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,Josh Wilson-Esbrand,2,72,2,72,2,72,1,31,1,31,1,31,1,41,1,41,1,41,0,0,0,0,0,0,186
20,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,Kyle Walker,3,72,3,72,1,21,1,21,1,21,1,21,1,46,1,46,0,0,0,0,0,0,0,0,39
21,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452,Issa Kaboré,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,0,0,5
